name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Goiânia,2024-03-22,31.7,22,25.6,34.4,22,26.5,20.9,76.5,1.8,100,25,rain,0,0,10.1,12.4,55.4,1013.8,63.6,9.9,231,20,9,30,2024-03-22T06:21:19,2024-03-22T18:25:54,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"83424099999,SBGO,86735099999,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-03-23,26,21.2,23.8,26,21.2,23.8,21.1,85,12.7,100,62.5,rain,0,0,15.8,13.9,86.9,1014.7,89.1,9.5,219.2,18.9,9,30,2024-03-23T06:21:29,2024-03-23T18:25:07,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"83424099999,SBGO,86735099999,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-03-24,30.5,21,25.1,32.1,21,25.8,20.1,74.9,5,100,33.33,rain,0,0,19.8,11.9,90.2,1013.9,75.3,10.4,266.5,23.1,9,30,2024-03-24T06:21:39,2024-03-24T18:24:21,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"83424099999,SBGO,86735099999,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-03-25,28.1,21.6,23.2,30.3,21.6,23.5,20.2,84.1,13.2,100,66.67,rain,0,0,23.4,19.1,39.9,1014,87.6,10,69.4,5.9,4,30,2024-03-25T06:21:50,2024-03-25T18:23:35,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"83424099999,SBGO,86735099999,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-03-26,28,20.9,23.1,29.6,20.9,23.3,20.3,84.9,8.9,100,66.67,rain,0,0,30.2,16.4,119.3,1015.7,91.8,9.9,171.7,14.8,9,30,2024-03-26T06:22:00,2024-03-26T18:22:49,0.55,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-03-27,25.3,20.8,22,25.3,20.8,22,20.4,91.1,14.6,100,75,rain,0,0,26.3,13,129.2,1016.5,94.1,9.4,79.5,7,5,10,2024-03-27T06:22:10,2024-03-27T18:22:02,0.58,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-03-28,25.9,20.9,22.9,25.9,20.9,22.9,20.6,87.6,13.6,100,50,rain,0,0,18.7,18.2,161,1018.8,89,9.7,58.8,5,3,10,2024-03-28T06:22:20,2024-03-28T18:21:16,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBGO,SBAN"
Goiânia,2024-03-29,30.9,20.9,25.5,33.6,20.9,26.5,21,77.8,0.3,100,12.5,rain,0,0,29.5,14.8,98.6,1018.5,65.1,10,244.2,21.2,10,30,2024-03-29T06:22:30,2024-03-29T18:20:30,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBGO,SBAN"
Goiânia,2024-03-30,31.8,21.9,24.7,34.7,21.9,25.3,20.9,81.3,8.5,100,37.5,rain,0,0,11.2,23.9,278.4,1017.6,65.2,10,227.6,19.7,9,75,2024-03-30T06:22:40,2024-03-30T18:19:44,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBGO,SBAN"
Goiânia,2024-03-31,28.9,20.9,24.8,31.9,20.9,25.7,21.6,83.4,1.3,100,20.83,rain,0,0,9.7,20.4,115.8,1016.8,60,10,198.3,17.2,9,60,2024-03-31T06:22:50,2024-03-31T18:18:59,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBGO,SBAN"
