name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Goiânia,2024-09-03,36.2,14.9,25.7,33.3,14.9,24.6,3.6,31.8,0,0,0,,0,0,27.7,13,44,1015.7,0.1,9.5,293.8,25.3,10,10,2024-09-03T06:21:32,2024-09-03T18:11:11,0.02,Clear,Clear conditions throughout the day.,clear-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-09-04,37.7,14.6,25.8,34.8,14.6,24.7,4.5,33.9,0,0,0,,0,0,33.5,11.6,17.5,1016.3,0,8.3,294.4,25.4,10,10,2024-09-04T06:20:46,2024-09-04T18:11:18,0.05,Clear,Clear conditions throughout the day.,clear-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-09-05,37.2,15.6,26.2,34.4,15.6,25,6.2,35.5,0,0,0,,0,0,29.5,9.5,116.6,1016.5,0,8.1,290.6,25,10,10,2024-09-05T06:19:59,2024-09-05T18:11:25,0.08,Clear,Clear conditions throughout the day.,clear-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-09-06,36.7,16.4,26.6,33.9,16.4,25.7,7.5,35.5,0,0,0,,0,0,38.9,10.9,73.4,1014.8,3.3,8.3,290.1,25,10,10,2024-09-06T06:19:11,2024-09-06T18:11:31,0.12,Clear,Clear conditions throughout the day.,clear-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-09-07,34.8,20,27,32.6,20,26,6.9,30.8,0,0,0,,0,0,37.1,26.1,85.5,1016.6,7.1,9.1,292.3,25,10,10,2024-09-07T06:18:24,2024-09-07T18:11:38,0.15,Clear,Clear conditions throughout the day.,clear-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-09-08,34.8,15.6,25.5,32.3,15.6,24.6,6.1,33.7,0,0,0,,0,0,59.4,26.2,82,1018.8,2.2,8.4,295.1,25.5,10,10,2024-09-08T06:17:36,2024-09-08T18:11:45,0.18,Clear,Clear conditions throughout the day.,clear-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-09-09,34.9,14.8,25.2,32.9,14.8,24.3,5.2,32.7,0,0,0,,0,0,40.7,18,71.9,1018,0.2,9.2,300.3,25.9,10,10,2024-09-09T06:16:48,2024-09-09T18:11:51,0.22,Clear,Clear conditions throughout the day.,clear-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-09-10,35.2,17,26.6,32.7,17,25.5,3.8,25.7,0,0,0,,0,0,33.1,18.3,83.8,1016.8,0.8,9.3,301.1,25.9,10,10,2024-09-10T06:16:00,2024-09-10T18:11:57,0.25,Clear,Clear conditions throughout the day.,clear-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
