name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Goiânia,2024-07-02,30.7,13.8,22.3,29.1,13.8,21.9,9.5,49.2,0,0,0,,0,0,27.7,24,98.9,1019.3,1.3,9.7,214.1,18.5,8,10,2024-07-02T06:46:41,2024-07-02T17:55:56,0.88,Clear,Clear conditions throughout the day.,clear-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-07-03,30,14.8,22.8,28.8,14.8,22.5,10.8,49.9,0,0,0,,0,0,32.4,22.2,78,1017.9,8.1,9.7,216.3,18.5,8,10,2024-07-03T06:46:45,2024-07-03T17:56:14,0.92,Clear,Clear conditions throughout the day.,clear-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-07-04,30.8,15.6,22.3,29.2,15.6,22.1,11.2,52.6,0,0,0,,0,0,16.6,7.6,110.4,1017.2,6.5,9.5,214.3,18.5,8,10,2024-07-04T06:46:48,2024-07-04T17:56:33,0.95,Clear,Clear conditions throughout the day.,clear-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-07-05,30.4,14.4,22.2,28.9,14.4,21.9,10.5,51.3,0,0,0,,0,0,35.3,15.2,110.3,1019.2,0.4,9.5,215.9,18.5,8,10,2024-07-05T06:46:50,2024-07-05T17:56:51,0,Clear,Clear conditions throughout the day.,clear-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-07-06,31.8,13.9,22.3,30.6,13.9,22,12.1,56.5,0,0,0,,0,0,14.4,7.3,135,1019.8,10.3,9.5,214.3,18.5,8,10,2024-07-06T06:46:52,2024-07-06T17:57:10,0.02,Clear,Clear conditions throughout the day.,clear-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-07-07,31.9,15.2,22.7,30.2,15.2,22.3,11.9,56,0,0,0,,0,0,27.7,15.5,344,1018.8,49.5,9.5,212.6,18.4,8,10,2024-07-07T06:46:52,2024-07-07T17:57:29,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-07-08,31.9,13.8,22.1,30.2,13.8,21.7,11.7,57.7,0,0,0,,0,0,9.4,8.1,262.5,1017.6,36.3,9.5,213.1,18.3,8,10,2024-07-08T06:46:52,2024-07-08T17:57:48,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
Goiânia,2024-07-09,32.4,14.1,22.4,30.6,14.1,22,11.7,56.9,0,0,0,,0,0,12.2,17.3,333.9,1015.9,24.2,9.5,213.5,18.5,8,10,2024-07-09T06:46:51,2024-07-09T17:58:07,0.12,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"83424099999,SBGO,83419099999,SBAN,86734099999,83423099999"
